id;type;attributes.name;attributes.symbol;attributes.serie;attributes.start_date;attributes.end_date;attributes.previous_asset_id;attributes.conceptual_asset_id;attributes.last_day.book_value;attributes.last_day.net_asset_value;attributes.last_day.total_assets;attributes.last_day.total_net_assets;attributes.last_day.institutional_investors;attributes.last_day.shareholders;attributes.last_day.date;conceptual_asset_id;conceptual_asset_name;conceptual_asset_symbol;attributes.last_day.fixed_management_fee;attributes.last_day.iva_exclusive_expenses;attributes.last_day.iva_inclusive_expenses;attributes.last_day.purchase_fee;attributes.last_day.redemption_fee;attributes.last_day.variable_management_fee;attributes.last_day.fixed_fee;attributes.last_day.new_shares;attributes.last_day.outstanding_shares;attributes.last_day.redeemed_shares;attributes.last_day.close_price;attributes.last_day.adjusted_close_price;attributes.last_day.high_price;attributes.last_day.low_price;attributes.last_day.open_price;attributes.last_day.volume;attributes.last_day.dividend;attributes.last_day.split;attributes.last_day.dividend_distribution_factor;attributes.last_day.rate;attributes.last_day.dirty_price;attributes.last_day.price_as_percentage_of_par_value;attributes.last_day.duration;attributes.last_day.yield_to_maturity;attributes.last_day.variable_fee
17621;real_asset;QUEST GLOBAL DEBT FONDO DE INVERSIÓN;FINV-9503-QUEST;QUEST;;;;1575,0;;;;;;;;1575;QUEST GLOBAL DEBT FONDO DE INVERSIÓN;FINV-9503;;;;;;;;;;;;;;;;;;;;;;;;;
8321;real_asset;QUEST GLOBAL DEBT FONDO DE INVERSIÓN;FINV-9503-CHG;CHG;;2018-03-20;;1575,0;;;;;;;;1575;QUEST GLOBAL DEBT FONDO DE INVERSIÓN;FINV-9503;;;;;;;;;;;;;;;;;;;;;;;;;
8320;real_asset;QUEST GLOBAL DEBT FONDO DE INVERSIÓN;FINV-9503-B;B;2019-11-12;;;1575,0;1297,8309;1297,8309;11721094250,0;2325409280,0;0,0;2,0;2024-08-20;1575;QUEST GLOBAL DEBT FONDO DE INVERSIÓN;FINV-9503;;;;;;;;;;;;;;;;;;;;;;;;;
8319;real_asset;QUEST GLOBAL DEBT FONDO DE INVERSIÓN;FINV-9503-A;A;2017-11-02;;;1575,0;1564,5072;1564,5072;11721094250,0;9384646375,0;1,0;18,0;2024-08-20;1575;QUEST GLOBAL DEBT FONDO DE INVERSIÓN;FINV-9503;;;;;;;;;;;;;;;;;;;;;;;;;
18987;real_asset;FONDO DE INVERSION SANTANDER DEUDA PRIVADA INTERNACIONAL;FINV-10407-A;A;2023-03-27;;;4208,0;100,0;0,0;3054000,0;210000,0;0,0;1,0;2023-03-31;4208;FONDO DE INVERSION SANTANDER DEUDA PRIVADA INTERNACIONAL;FINV-10407;;;;;;;;;;;;;;;;;;;;;;;;;
18988;real_asset;FONDO DE INVERSION SANTANDER DEUDA PRIVADA INTERNACIONAL;FINV-10407-B;B;2023-03-27;;;4208,0;100,0;0,0;3054000,0;2844000,0;0,0;1,0;2023-03-31;4208;FONDO DE INVERSION SANTANDER DEUDA PRIVADA INTERNACIONAL;FINV-10407;;;;;;;;;;;;;;;;;;;;;;;;;
18856;real_asset;FONDO MUTUO BICE ESTRUCTURADO UF V;FFMM-BICE-10430-APV;APV;2023-03-15;;;4142,0;;1118,6384;36440243125,0;2437581854,0;0,0;47,0;2024-08-20;4142;FONDO MUTUO BICE ESTRUCTURADO UF V;FFMM-BICE-10430;53282,0;0,0;0,0;0,0;0,0;0,0;2,185854801657873e-05;0,0;2179061,486;0,0;;;;;;;;;;;;;;;
18855;real_asset;FONDO MUTUO BICE ESTRUCTURADO UF V;FFMM-BICE-10430-A;A;2023-03-15;;;4142,0;;1117,0353;36440243125,0;33993771707,0;0,0;557,0;2024-08-20;4142;FONDO MUTUO BICE ESTRUCTURADO UF V;FFMM-BICE-10430;836130,0;0,0;0,0;0,0;0,0;0,0;2,459077742194541e-05;0,0;30432137,3791;7161,8149;;;;;;;;;;;;;;;
15734;real_asset;Franklin Templeton Deuda Corto Plazo;FT-LIQU-BF1;BF1;;;;2784,0;;1,757908;;;;;2024-08-21;2784;Franklin Templeton Deuda Corto Plazo;FT-LIQU;;;;;;;;;;;;;;;;;;;;;;;;;
19020;real_asset;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381-AA;AA;2024-02-01;;;3911,0;38994,7965;38994,7965;11989506921,0;307006033,0;0,0;1,0;2024-08-20;3911;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381;;;;;;;;;;;;;;;;;;;;;;;;;
19021;real_asset;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381-AB;AB;2024-03-11;;;3911,0;37482,9393;37482,9393;11989506921,0;50639451,0;0,0;1,0;2024-08-20;3911;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381;;;;;;;;;;;;;;;;;;;;;;;;;
18399;real_asset;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381-B;B;2023-02-01;;;3911,0;47989,2362;47989,2362;11989506921,0;2145454783,0;0,0;2,0;2024-08-20;3911;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381;;;;;;;;;;;;;;;;;;;;;;;;;
19023;real_asset;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381-AD;AD;2023-05-19;;;3911,0;39154,5849;39154,5849;11989506921,0;1217041962,0;0,0;1,0;2024-08-20;3911;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381;;;;;;;;;;;;;;;;;;;;;;;;;
19025;real_asset;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381-AF;AF;2023-07-13;;;3911,0;38560,9544;38560,9544;11989506921,0;762812800,0;0,0;3,0;2024-08-20;3911;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381;;;;;;;;;;;;;;;;;;;;;;;;;
19024;real_asset;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381-AE;AE;2023-06-06;;;3911,0;39750,3829;39750,3829;11989506921,0;188218063,0;0,0;2,0;2024-08-20;3911;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381;;;;;;;;;;;;;;;;;;;;;;;;;
18398;real_asset;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381-A;A;2023-02-17;;;3911,0;45058,3066;45058,3066;11989506921,0;6786772257,0;0,0;3,0;2024-08-20;3911;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381;;;;;;;;;;;;;;;;;;;;;;;;;
19026;real_asset;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381-AG;AG;2023-08-22;;;3911,0;38189,8753;38189,8753;11989506921,0;16536216,0;0,0;1,0;2024-08-20;3911;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381;;;;;;;;;;;;;;;;;;;;;;;;;
19027;real_asset;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381-AH;AH;2023-09-01;;;3911,0;0,0;0,0;11989506921,0;0,0;0,0;0,0;2024-08-20;3911;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381;;;;;;;;;;;;;;;;;;;;;;;;;
19028;real_asset;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381-AI;AI;;;;3911,0;;;;;;;;3911;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381;;;;;;;;;;;;;;;;;;;;;;;;;
19029;real_asset;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381-AJ;AJ;;;;3911,0;;;;;;;;3911;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381;;;;;;;;;;;;;;;;;;;;;;;;;
19030;real_asset;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381-AK;AK;;;;3911,0;;;;;;;;3911;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381;;;;;;;;;;;;;;;;;;;;;;;;;
19022;real_asset;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381-AC;AC;2023-04-28;;;3911,0;42194,4409;42194,4409;11989506921,0;240086369,0;0,0;1,0;2024-08-20;3911;MBI CONVICCIÓN CHILE FONDO DE INVERSIÓN;FINV-10381;;;;;;;;;;;;;;;;;;;;;;;;;
16078;real_asset;FONDO MUTUO LARRAINVIAL AHORRO LARGO PLAZO;FFMM-LARRAINVIAL-9929-I;I;;2023-10-13;;2903,0;;;;;;;;2903;FONDO MUTUO LARRAINVIAL AHORRO LARGO PLAZO;FFMM-LARRAINVIAL-9929;;;;;;;;;;;;;;;;;;;;;;;;;
16075;real_asset;FONDO MUTUO LARRAINVIAL AHORRO LARGO PLAZO;FFMM-LARRAINVIAL-9929-A;A;2020-10-28;2023-10-13;;2903,0;;866,0969;2077117561,0;531317335,0;0,0;80,0;2023-10-13;2903;FONDO MUTUO LARRAINVIAL AHORRO LARGO PLAZO;FFMM-LARRAINVIAL-9929;18354,0;872,0;0,0;0,0;0,0;0,0;3,424825355212712e-05;0,0;613461,7934;5303,3366;;;;;;;;;;;;;;;
16077;real_asset;FONDO MUTUO LARRAINVIAL AHORRO LARGO PLAZO;FFMM-LARRAINVIAL-9929-F;F;2021-06-07;2023-10-13;;2903,0;;992,8328;2077117561,0;546752795,0;0,0;33,0;2023-10-13;2903;FONDO MUTUO LARRAINVIAL AHORRO LARGO PLAZO;FFMM-LARRAINVIAL-9929;12974,0;896,0;0,0;0,0;0,0;0,0;2,356144017933821e-05;0,0;550699,7663;3920,7631;;;;;;;;;;;;;;;
16079;real_asset;FONDO MUTUO LARRAINVIAL AHORRO LARGO PLAZO;FFMM-LARRAINVIAL-9929-LV;LV;2020-10-19;2023-10-13;;2903,0;;928,7027;2077117561,0;0,0;0,0;0,0;2023-10-13;2903;FONDO MUTUO LARRAINVIAL AHORRO LARGO PLAZO;FFMM-LARRAINVIAL-9929;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;;;;;;;;;;;;;;;
16076;real_asset;FONDO MUTUO LARRAINVIAL AHORRO LARGO PLAZO;FFMM-LARRAINVIAL-9929-APV;APV;2020-11-06;2023-10-13;;2903,0;;872,5245;2077117561,0;84267180,0;0,0;14,0;2023-10-13;2903;FONDO MUTUO LARRAINVIAL AHORRO LARGO PLAZO;FFMM-LARRAINVIAL-9929;1847,0;137,0;0,0;0,0;0,0;0,0;2,191837913645621e-05;0,0;96578,5843;0,0;;;;;;;;;;;;;;;
11891;real_asset;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820-G;G;2015-10-22;;;2006,0;;1297,53;41644085,21;1662,4;1,0;1,0;2024-08-20;2006;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820;0,05;0,0;0,0;0,0;0,0;0,0;;0,0;1,2812;0,0;;;;;;;;;;;;;;;
11889;real_asset;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820-APV1;APV1;2015-10-03;;11885,0;2006,0;;1409,09;41644085,21;9,3;0,0;1,0;2024-08-20;2006;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0066;0,0;;;;;;;;;;;;;;;
11890;real_asset;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820-B;B;2010-12-13;;;2006,0;;97,97;41644085,21;1704822,29;0,0;130,0;2024-08-20;2006;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820;110,87;3,97;0,0;0,0;0,0;0,0;6,503317128731347e-05;0,0;17401,8373;0,0;;;;;;;;;;;;;;;
11895;real_asset;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820-S;S;2017-06-09;;;2006,0;;1197,6;41644085,21;31510604,15;7,0;7,0;2024-08-20;2006;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820;0,0;73,32;0,0;0,0;0,0;0,0;;0,0;26311,5437;0,0;;;;;;;;;;;;;;;
11888;real_asset;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820-A;A;2010-12-13;;;2006,0;;66,22;41644085,21;2790902,17;1,0;262,0;2024-08-20;2006;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820;351,22;6,5;0,0;0,0;0,0;0,0;0,0001256986826637048;0,0;42146,9721;48,929;;;;;;;;;;;;;;;
11885;real_asset;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820-APV;APV;;2015-10-02;;2006,0;;;;;;;;2006;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820;;;;;;;;;;;;;;;;;;;;;;;;;
11886;real_asset;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820-D;D;2010-12-13;2015-10-02;;2006,0;;99,99;2440874,0;0,0;0,0;0,0;2015-10-02;2006;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;;;;;;;;;;;;;;;
11887;real_asset;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820-I;I;2010-12-13;2015-10-02;;2006,0;;75,78;2440874,0;756726,0;0,0;103,0;2015-10-02;2006;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820;46,88;5,23;0,0;0,0;0,0;0,0;6,195104836423727e-05;0,0;9985,8899;0,0;;;;;;;;;;;;;;;
11892;real_asset;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820-H;H;2015-09-04;;;2006,0;;1171,6;41644085,21;363950,18;1,0;14,0;2024-08-20;2006;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820;36,7;0,85;0,0;0,0;0,0;0,0;0,0001008379773297543;0,0;310,6428;0,0;;;;;;;;;;;;;;;
11893;real_asset;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820-I-APV;I-APV;2015-10-03;;11887,0;2006,0;;100,82;41644085,21;1790232,46;0,0;290,0;2024-08-20;2006;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820;104,57;4,24;0,0;0,0;0,0;0,0;5,738287857882217e-05;0,0;17756,5805;318,2713;;;;;;;;;;;;;;;
11894;real_asset;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820-J;J;2017-10-17;;;2006,0;;1070,25;41644085,21;1578618,07;1,0;1,0;2024-08-20;2006;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820;33,21;3,67;0,0;0,0;0,0;0,0;2,103738746636797e-05;0,0;1475,0051;0,0;;;;;;;;;;;;;;;
11896;real_asset;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820-V;V;2015-10-03;;;2006,0;;1364,73;41644085,21;1860413,47;0,0;1,0;2024-08-20;2006;FONDO MUTUO SECURITY ASIA EMERGENTE;FFMM-ADMINISTRADORA-8820;106,75;4,33;0,0;0,0;0,0;0,0;5,737971785379516e-05;0,0;1363,2119;0,0;;;;;;;;;;;;;;;
10206;real_asset;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248-IT;IT;2015-10-22;;;1839,0;;1657,7727;45713358619,0;42224755018,0;5,0;6,0;2024-08-20;1839;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248;0,0;19356,0;13523,0;0,0;0,0;0,0;;0,0;25470775,2615;0,0;;;;;;;;;;;;;;;
10207;real_asset;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248-P;P;;2020-12-09;;1839,0;;;;;;;;1839;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248;;;;;;;;;;;;;;;;;;;;;;;;;
18895;real_asset;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248-SIMPLE;SIMPLE;2023-04-17;;16164,0;1839,0;;1225,884;45713358619,0;2312918193,0;0,0;214,0;2024-08-20;1839;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248;96428,0;1011,0;706,0;0,0;0,0;0,0;4,371767209383766e-05;87463,2339;1886734,9944;0,0;;;;;;;;;;;;;;;
10205;real_asset;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248-I;I;2016-02-10;2020-12-09;;1839,0;;1266,6306;59503174026,0;2776608149,0;0,0;5,0;2020-12-09;1839;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248;90281,0;650,0;682,0;0,0;0,0;0,0;3,251485090991858e-05;0,0;2192121,4265;0,0;;;;;;;;;;;;;;;
10208;real_asset;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248-U;U;2015-11-12;2020-12-09;;1839,0;;1314,6558;59503174026,0;1538303216,0;0,0;1,0;2020-12-09;1839;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248;33625,0;360,0;378,0;0,0;0,0;0,0;2,185849944943494e-05;0,0;1170118,5733;0,0;;;;;;;;;;;;;;;
16166;real_asset;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248-F4;F4;2020-12-10;;10205,0;1839,0;;1477,5574;45713358619,0;296990610,0;0,0;2,0;2024-08-20;1839;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248;9657,0;136,0;95,0;0,0;0,0;0,0;3,251617955193937e-05;0,0;201001,0684;0,0;;;;;;;;;;;;;;;
16162;real_asset;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248-APV;APV;2020-12-16;;;1839,0;;1197,6902;45713358619,0;38684733,0;0,0;48,0;2024-08-20;1839;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248;317,0;18,0;12,0;0,0;0,0;0,0;8,19444714792267e-06;0,0;32299,448;0,0;;;;;;;;;;;;;;;
16163;real_asset;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248-F1;F1;2021-01-08;2023-04-16;;1839,0;;1045,9732;40696119933,0;607419863,0;0,0;186,0;2023-04-16;1839;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248;32076,0;225,0;283,0;0,0;0,0;0,0;4,931794464781284e-05;0,0;580722,2167;41083,4664;;;;;;;;;;;;;;;
16164;real_asset;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248-F2;F2;2020-12-16;2023-04-16;;1839,0;;1134,5508;40696119933,0;224376197,0;0,0;8,0;2023-04-16;1839;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248;9836,0;78,0;98,0;0,0;0,0;0,0;4,3837092042344e-05;0,0;197766,5468;0,0;;;;;;;;;;;;;;;
16165;real_asset;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248-F3;F3;2020-12-16;2023-04-16;;1839,0;;1075,5088;40696119933,0;0,0;0,0;0,0;2023-04-16;1839;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;;;;;;;;;;;;;;;
16167;real_asset;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248-F5;F5;2020-12-10;;10208,0;1839,0;;1544,3914;45713358619,0;676624003,0;0,0;1,0;2024-08-20;1839;FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE;FFMM-ITAU-9248;18487,0;310,0;217,0;0,0;0,0;0,0;2,732241232653994e-05;0,0;438116,9324;0,0;;;;;;;;;;;;;;;
16225;real_asset;FONDO DE INVERSIÓN ACTIVA FINANCIAMIENTO ESTRUCTURADO PERU;FINV-9710-R;R;2019-06-12;;;2913,0;0,477;0,477;26754032,0;2794434,0;0,0;41,0;2024-08-20;2913;FONDO DE INVERSIÓN ACTIVA FINANCIAMIENTO ESTRUCTURADO PERU;FINV-9710;;;;;;;;;;;;;;;;;;;;;;;;;
16223;real_asset;FONDO DE INVERSIÓN ACTIVA FINANCIAMIENTO ESTRUCTURADO PERU;FINV-9710-F;F;2020-11-28;;;2913,0;0,4783;0,4783;26754032,0;3447732,0;0,0;67,0;2024-08-20;2913;FONDO DE INVERSIÓN ACTIVA FINANCIAMIENTO ESTRUCTURADO PERU;FINV-9710;;;;;;;;;;;;;;;;;;;;;;;;;
16224;real_asset;FONDO DE INVERSIÓN ACTIVA FINANCIAMIENTO ESTRUCTURADO PERU;FINV-9710-I;I;2019-01-29;;;2913,0;0,5059;0,5059;26754032,0;2749568,0;1,0;5,0;2024-08-20;2913;FONDO DE INVERSIÓN ACTIVA FINANCIAMIENTO ESTRUCTURADO PERU;FINV-9710;;;;;;;;;;;;;;;;;;;;;;;;;
16226;real_asset;FONDO DE INVERSIÓN ACTIVA FINANCIAMIENTO ESTRUCTURADO PERU;FINV-9710-S;S;2019-01-28;;;2913,0;0,5144;0,5144;26754032,0;17748936,0;1,0;3,0;2024-08-20;2913;FONDO DE INVERSIÓN ACTIVA FINANCIAMIENTO ESTRUCTURADO PERU;FINV-9710;;;;;;;;;;;;;;;;;;;;;;;;;
15580;real_asset;FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;FFMM-ITAU-9834-IT;IT;2019-12-27;;;2742,0;;1180,8093;31920866562,0;1507813704,0;2,0;2,0;2024-08-20;2742;FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;FFMM-ITAU-9834;0,0;732,0;192,0;0,0;0,0;0,0;;0,0;1276932,486;0,0;;;;;;;;;;;;;;;
18900;real_asset;FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;FFMM-ITAU-9834-SIMPLE;SIMPLE;2023-04-17;;15575,0;2742,0;;1169,2791;31920866562,0;23196642991,0;0,0;1348,0;2024-08-20;2742;FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;FFMM-ITAU-9834;566413,0;11181,0;2928,0;0,0;0,0;0,0;2,459077464267054e-05;222045,5211;19838414,7219;82569,5196;;;;;;;;;;;;;;;
18898;real_asset;FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;FFMM-ITAU-9834-S;S;;;;2742,0;;;;;;;;2742;FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;FFMM-ITAU-9834;;;;;;;;;;;;;;;;;;;;;;;;;
18899;real_asset;FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;FFMM-ITAU-9834-S-APV;S-APV;;;;2742,0;;;;;;;;2742;FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;FFMM-ITAU-9834;;;;;;;;;;;;;;;;;;;;;;;;;
15577;real_asset;FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;FFMM-ITAU-9834-F3;F3;2020-01-06;2023-04-16;;2742,0;;1043,6073;21444118691,0;2606440053,0;0,0;18,0;2023-04-16;2742;FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;FFMM-ITAU-9834;42846,0;1775,0;399,0;0,0;0,0;0,0;1,64385135006978e-05;0,0;2497529,4421;0,0;;;;;;;;;;;;;;;
15578;real_asset;FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;FFMM-ITAU-9834-F4;F4;2020-01-21;;;2742,0;;1198,2318;31920866562,0;3357747569,0;0,0;11,0;2024-08-20;2742;FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;FFMM-ITAU-9834;27523,0;1630,0;427,0;0,0;0,0;0,0;8,19686394954248e-06;0,0;2802252,0775;0,0;;;;;;;;;;;;;;;
15579;real_asset;FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;FFMM-ITAU-9834-F5;F5;2020-01-08;;;2742,0;;1201,4998;31920866562,0;2123126211,0;0,0;6,0;2024-08-20;2742;FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;FFMM-ITAU-9834;17403,0;1031,0;270,0;0,0;0,0;0,0;8,196874924267043e-06;0,0;1767063,2649;0,0;;;;;;;;;;;;;;;
15575;real_asset;FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;FFMM-ITAU-9834-F1;F1;2019-12-27;2023-04-16;;2742,0;;1034,4647;21444118691,0;4779249132,0;0,0;446,0;2023-04-16;2742;FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;FFMM-ITAU-9834;117847,0;3254,0;731,0;0,0;0,0;0,0;2,465805752015356e-05;0,0;4620021,535;0,0;;;;;;;;;;;;;;;
15576;real_asset;FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;FFMM-ITAU-9834-F2;F2;2020-01-21;2023-04-16;;2742,0;;1041,4002;21444118691,0;2732559346,0;0,0;46,0;2023-04-16;2742;FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;FFMM-ITAU-9834;44920,0;1860,0;418,0;0,0;0,0;0,0;1,643880125266271e-05;0,0;2623928,3189;0,0;;;;;;;;;;;;;;;
15620;real_asset;FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;FFMM-ITAU-9834-APV;APV;2020-02-25;;;2742,0;;1119,8396;31920866562,0;1150741961,0;0,0;120,0;2024-08-20;2742;FONDO MUTUO ITAU RENTA DINAMICA GLOBAL;FFMM-ITAU-9834;9432,0;559,0;146,0;0,0;0,0;0,0;8,196450915723582e-06;0,0;1027595,3819;0,0;;;;;;;;;;;;;;;
18922;real_asset;FONDO MUTUO COOPEUCH COMPASS LIQUIDEZ;FFMM-COMPASS-10441-UNICA;UNICA;2023-03-23;;;4175,0;;1112,4926;3713010541,0;3693634865,0;0,0;3341,0;2024-08-20;4175;FONDO MUTUO COOPEUCH COMPASS LIQUIDEZ;FFMM-COMPASS-10441;114620,0;0,0;0,0;0,0;0,0;0,0;3,091610705923265e-05;2926,0864;3320143,4243;15346,5614;;;;;;;;;;;;;;;
18757;real_asset;FONDO MUTUO ZURICH ASIA;FFMM-ZURICH-8457-COL-Z APV/;COL-Z APV/;;;;1795,0;;;;;;;;1795;FONDO MUTUO ZURICH ASIA;FFMM-ZURICH-8457;;;;;;;;;;;;;;;;;;;;;;;;;
16983;real_asset;FONDO MUTUO ZURICH ASIA;FFMM-ZURICH-8457-W-APV;W-APV;2022-01-26;;;1795,0;;1066,5;31978279893,0;10665,0;0,0;1,0;2024-08-20;1795;FONDO MUTUO ZURICH ASIA;FFMM-ZURICH-8457;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;10,0;0,0;;;;;;;;;;;;;;;
18954;real_asset;FONDO MUTUO ZURICH ASIA;FFMM-ZURICH-8457-COL-Z APV/APVC;COL-Z APV/APVC;2023-03-24;;;1795,0;;1249,1417;31978279893,0;174099,0;0,0;2,0;2024-08-20;1795;FONDO MUTUO ZURICH ASIA;FFMM-ZURICH-8457;0,0;1,0;0,0;0,0;0,0;0,0;;0,0;139,3749;0,0;;;;;;;;;;;;;;;
9798;real_asset;FONDO MUTUO ZURICH ASIA;FFMM-ZURICH-8457-CUI;CUI;2018-10-27;;;1795,0;;1421,4673;31978279893,0;12373010993,0;1,0;1,0;2024-08-20;1795;FONDO MUTUO ZURICH ASIA;FFMM-ZURICH-8457;1569146,0;67621,0;0,0;0,0;0,0;0,0;0,0001268200602818296;0,0;8704393,8383;0,0;;;;;;;;;;;;;;;
